TRAJET_ID,SERVICE_ID,ITINERAIRE_ID,DIRECTION
88____:007::8891702:8844628:40:743:20250314,1,658,0
88____:007::8891702:8844628:40:843:20250314,1,658,0
88____:007::8891702:8844628:40:943:20250314,1,658,0
88____:007::8891702:8844628:40:1043:20250314,1,658,0
88____:007::8891702:8844628:40:1143:20250314,1,658,0
88____:007::8891702:8844628:40:1243:20250314,1,658,0
88____:007::8891702:8844628:40:1344:20250314,1,658,0
88____:007::8891702:8844628:40:1444:20250314,1,658,0
88____:007::8891702:8844628:40:1544:20250314,1,658,0
88____:007::8891702:8844628:40:1643:20250314,1,658,0
88____:007::8891702:8844628:41:1743:20250314,1,658,0
88____:007::8891702:8844628:41:1843:20250314,1,658,0
88____:007::8891702:8844628:40:1943:20250314,1,658,0
88____:007::8891702:8844628:40:2043:20250314,1,658,0
88____:007::8891702:8844628:40:2143:20250314,1,658,0
88____:007::8844628:8891702:41:917:20251212,1,658,1
88____:007::8844628:8891702:41:1017:20251212,1,658,1
88____:007::8844628:8891702:40:1117:20251212,1,658,1
88____:007::8844628:8891702:40:1217:20251212,1,658,1
88____:007::8844628:8891702:40:1317:20251212,1,658,1
88____:007::8844628:8891702:40:1417:20251212,1,658,1
88____:007::8844628:8891702:40:1517:20251212,1,658,1
88____:007::8844628:8891702:40:1617:20251212,1,658,1
88____:007::8844628:8891702:40:1717:20251212,1,658,1
88____:007::8844628:8891702:40:1817:20251212,1,658,1
88____:007::8844628:8891702:40:1917:20251212,1,658,1
88____:007::8844628:8891702:40:2017:20251212,1,658,1
88____:007::8844628:8891702:40:2117:20251212,1,658,1
88____:007::8844628:8891702:40:2217:20251212,1,658,1
88____:007::8844628:8891702:40:2317:20251212,1,658,1
88____:007::8844628:8891702:40:2419:20250509,1,658,1
88____:046::8863503:8863008:6:2208:20251212,1,225,0
88____:007::8885001:8863008:38:1625:20250404,1,908,0
88____:007::8885001:8863008:38:1422:20251212:1,1,908,0
88____:007::8885001:8863008:38:1525:20250404,1,908,0
88____:007::8885001:8863008:38:1725:20250404,1,908,0
88____:007::8885001:8863008:38:1825:20250321,1,908,0
88____:007::8863008:8885001:38:917:20250326,1,908,1
88____:007::8863008:8885001:38:1017:20250326,1,908,1
88____:007::8863008:8885001:38:1117:20250326,1,908,1
88____:007::8863008:8885001:38:1716:20250326,1,908,1
88____:007::8863008:8885001:38:1917:20250326,1,908,1
88____:007::8863008:8885001:38:2017:20250326,1,908,1
88____:049::8895000:8892007:9:135:20250328,2,33,0
88____:007::8814001:8841004:46:2308:20250328,2,221,1
88____:007::8814001:8841004:46:2408:20250328,2,221,1
88____:007::8891702:8844628:40:742:20250411,2,658,0
88____:007::8891702:8844628:40:842:20250411,2,658,0
88____:007::8891702:8844628:40:942:20250411,2,658,0
88____:007::8891702:8844628:40:1042:20250411,2,658,0
88____:007::8891702:8844628:40:1142:20250411,2,658,0
88____:007::8891702:8844628:40:1242:20250411,2,658,0
88____:007::8891702:8844628:40:1343:20250411,2,658,0
88____:007::8891702:8844628:40:1443:20250411,2,658,0
88____:007::8891702:8844628:40:1543:20250411,2,658,0
88____:007::8891702:8844628:40:1642:20250411,2,658,0
88____:007::8891702:8844628:41:1742:20250411,2,658,0
88____:007::8891702:8844628:41:1842:20250411,2,658,0
88____:007::8891702:8844628:40:1942:20250411,2,658,0
88____:007::8891702:8844628:40:2042:20250411,2,658,0
88____:007::8891702:8844628:40:2142:20250411,2,658,0
88____:007::8844628:8891702:41:917:20250411,2,658,1
88____:007::8844628:8891702:41:1017:20250411,2,658,1
88____:007::8844628:8891702:40:1117:20250411,2,658,1
88____:007::8844628:8891702:40:1217:20250409,2,658,1
88____:007::8844628:8891702:40:1317:20250409,2,658,1
88____:007::8844628:8891702:40:1417:20250409,2,658,1
88____:007::8844628:8891702:40:1517:20250409,2,658,1
88____:007::8844628:8891702:40:1617:20250411,2,658,1
88____:007::8844628:8891702:40:1717:20250411,2,658,1
88____:007::8844628:8891702:40:1817:20250411,2,658,1
88____:007::8844628:8891702:40:1917:20250411,2,658,1
88____:007::8844628:8891702:40:2017:20250411,2,658,1
88____:007::8844628:8891702:40:2117:20250411,2,658,1
88____:007::8844628:8891702:40:2217:20250411,2,658,1
88____:007::8844628:8891702:40:2317:20250411,2,658,1
88____:007::8844628:8891702:40:2419:20250411,2,658,1
88____:007::8885001:8863008:38:1825:20250404,2,908,0
88____:007::8863008:8885001:38:916:20250404,2,908,1
88____:007::8863008:8885001:38:1016:20250404,2,908,1
88____:007::8863008:8885001:38:1116:20250404,2,908,1
88____:007::8863008:8885001:38:1715:20250404,2,908,1
88____:007::8863008:8885001:38:1916:20250404,2,908,1
88____:007::8863008:8885001:38:2016:20250404,2,908,1
88____:007::8814001:8841004:46:1809:20250227,3,221,1
88____:007::8814001:8841004:46:2209:20250227,3,221,1
88____:007::8841004:8814001:46:857:20250227,3,221,0
88____:007::8891702:8844628:40:842:20251212,3,658,0
88____:007::8891702:8844628:40:942:20250227,3,658,0
88____:007::8891702:8844628:40:1042:20250227,3,658,0
88____:007::8891702:8844628:41:1742:20251212,3,658,0
88____:007::8891702:8844628:41:1842:20251212,3,658,0
88____:007::8891702:8844628:40:1942:20251212,3,658,0
88____:007::8844628:8891702:40:1217:20250227,3,658,1
88____:007::8844628:8891702:40:1317:20250227,3,658,1
88____:007::8844628:8891702:40:1417:20250227,3,658,1
88____:007::8885001:8863008:38:1625:20250307,3,908,0
88____:007::8885001:8863008:38:1825:20250307,3,908,0
88____:007::8863008:8885001:38:918:20250227,3,908,1
88____:007::8863008:8885001:38:1818:20250227,3,908,1
88____:007::8863008:8885001:38:2018:20250227,3,908,1
